ID COMERCIO,EMPRESA,DIRECCION,TELEFONOS,PROPIETARIO,ANTIGÜEDAD,MAYORISTA,MINORISTA,SERVICIOS,TIPO,FAMILIAR?,RUC,LATITUD,LONGITUD,RUBRO
618,DESPENSA BONANZA,GUARDIMIRO COMPANIE,331240301,MUJER,360,NO,SÍ,NO,MICRO,SÍ,0,-23.41632,-57.44649,ELECTRODOMESTICOS - Distribuidoras
619,COMPLEJO DEPORTIVO CC,MAYOR TEÓFILO MEDINA Y MONSEÑOR ALCIDES GALEANO,331243253,HOMBRE,72,NO,NO,SÍ,MICRO,NO,0,-23.41648,-57.43414,ELECTRODOMESTICOS - Repuestos
620,BODEGA ,SAN ANTONIO ,0,HOMBRE,64,NO,SÍ,NO,MICRO,SÍ,0,-23.4158,-57.44863,COMEDORES
621,AUTO CENTRO LA HUELLA,HERIBERTO COLOMBINO,331243603,HOMBRE,54,NO,NO,SÍ,MICRO,NO,0,-23.41457,-57.43579,VIDRIOS - Ventas y Colocacion
622,ALMACÉN ,NUESTRA SRA DE LA ASUNCIÓN / MANUEL GAMARRA ,982982616,MUJER,6,NO,SÍ,NO,MICRO,SÍ,0,-23.41567,-57.44927,ALMACENAJES - Depositos
623,ELECTRODOMÉSTICOS SAN ANTONIO ,SAN ANTONIO ,331241976,HOMBRE,120,NO,SÍ,NO,MICRO,SÍ,3561870-1,-23.41686,-57.44617,ALMACENAJES - Depositos
624,CELULARES TANYA,PROFESOR CABRAS CASI SARMIENTO,976503767,MUJER,22,NO,SÍ,NO,MICRO,SÍ,4236165-6,-23.40699,-57.4387,HERRAMIENTAS DE TALLERES
625,FOTO CENTER,CALLE SARMIENTO ,971801802,HOMBRE,360,NO,NO,SÍ,MICRO,NO,1617979-0,-23.40662,-57.43876,PRENDAS - Ver. Ropas
626,EL KILATE,SARMIENTO CASI PROFESOR CABRAL,(0331)240887,HOMBRE,60,NO,SÍ,NO,MICRO,NO,1963080-8,-23.40654,-57.43884,FERRETERIAS
627,NANO REPUESTOS,SARMIENTO CASI PROFESOR CABRAL,331242508,ORGANIZACION,48,NO,SÍ,NO,MICRO,NO,4921311-3,-23.407,-57.43872,BEBIDAS - Depositos de
628,POLLO DEL CORRAL,SARMIENTO Y PROFESOR CABRAL,(0331)242319,HOMBRE,84,SÍ,SÍ,NO,MICRO,SÍ,3529930-4,-23.40694,-57.43872,ALMACENES GENERALES DE DEPOSITO
629,DESPENSA SUSI,SAN ANTONIO ,0,MUJER,120,NO,SÍ,NO,MICRO,SÍ,0,-23.41735,-57.44744,TRAPOS DE PISO - Ventas
630,ROLANDO VERA,PROFESOR CABRAL ENTRE DON BOSCO Y SARMIENTO,986356567,HOMBRE,3,NO,SÍ,NO,MICRO,SÍ,0,-23.40701,-57.43877,TELAS - Ventas
631,CREDI MUEBLE,SARMIENTO CASI PROFESOR CABRAL,971831658,HOMBRE,60,NO,SÍ,NO,MICRO,SÍ,0,-23.40722,-57.43839,CUEROS - Ventas
632,DISTRIBUIDORA SADYS,CALLE PROFESOR CABRAL,33124168,MUJER,240,NO,SÍ,NO,MICRO,NO,1332699-6,-23.40641,-57.43882,ALMACENES GENERALES DE DEPOSITO
633,DESPENSA ÑA ÑEKA ,PROFESOR HERNAN CASI DR AGÜERO ,976392624,HOMBRE,36,NO,SÍ,NO,MICRO,SÍ,0,-23.42397,-57.43839,ARTICULOS DE PLASTICOS
634,JOYERIA ALBERTIÑO,CALLE CABRAL,972914297,MUJER,24,NO,SÍ,NO,MICRO,NO,2070652-9,-23.40629,-57.43872,FOTOGRAFIAS
