id,channel,name,authorized,description,department,city,source,link,lat,lon,agreement,category
ZPC305,281,"RADIO CÁMARA - ZPC305 - 104,1MHz",HONORABLE CÁMARA DE DIPUTADOS,"Departamento: Capital<br>Localidad: Asunción<br>Frecuencia: 104,1MHz<br>P.E.R.: 50W",Capital,Asunción,CONATEL,http://umap.openstreetmap.fr/en/map/pymc_349107#16/-25.281944/-57.636667,-25.281944,-57.636667,"SI, Acepto",Radios Comunitarias
ZPC850,249,"RADIO CATEDRAL FM - ZPC850 - 97,7MHz",ASOCIACIÓN RADIO COMUNITARIA CATEDRAL FM,"Departamento: Caaguazú<br>Localidad: Coronel Oviedo<br>Frecuencia: 97,7MHz<br>P.E.R.: 50W",Caaguazú,Coronel Oviedo,CONATEL,http://umap.openstreetmap.fr/en/map/pymc_349107#16/-25.447778/-56.438611,-25.447778,-56.438611,"SI, Acepto",Radios Comunitarias
ZPD755,228,"RADIO CHACO FM - ZPD755 - 93,5MHz",ASOCIACIÓN RENACER COMUNICACIONES,"Departamento: Presidente Hayes<br>Localidad: Villa Hayes<br>Frecuencia: 93,5MHz<br>P.E.R.: 50W",Presidente Hayes,Villa Hayes,CONATEL,http://umap.openstreetmap.fr/en/map/pymc_349107#16/-25.085833/-57.527778,-25.085833,-57.527778,"SI, Acepto",Radios Comunitarias
ZPC786,218,"RADIO COMUNITARIA 91.5 FM EL MENSÚ - ZPC786 - 91,5MHz",RADIO COMUNITARIA 91.5 FM EL MENSÚ,"Departamento: Alto Parana<br>Localidad: Itakyry<br>Frecuencia: 91,5MHz<br>P.E.R.: 50W",Alto Parana,Itakyry,CONATEL,http://umap.openstreetmap.fr/en/map/pymc_349107#16/-24.993056/-55.161111,-24.993056,-55.161111,"SI, Acepto",Radios Comunitarias
ZPC653,237,"RADIO COMUNITARIA ACTIVA FM - ZPC653 - 95,3MHz",ASOCIACIÓN RADIO COMUNITARIA ACTIVA FM,"Departamento: Misiones<br>Localidad: San Ignacio<br>Frecuencia: 95,3MHz<br>P.E.R.: 50W",Misiones,San Ignacio,CONATEL,http://umap.openstreetmap.fr/en/map/pymc_349107#16/-26.891389/-57.0275,-26.891389,-57.0275,"SI, Acepto",Radios Comunitarias
ZPD904,298,"RADIO COMUNITARIA ALIANZA FM - ZPD904 - 107,5MHz",ASOCIACIÓN RADIO COMUNITARIA ALIANZA FM,"Departamento: Alto Paraná<br>Localidad: Dr. Raúl Peña<br>Frecuencia: 107,5MHz<br>P.E.R.: 50W",Alto Paraná,Dr. Raúl Peña,CONATEL,http://umap.openstreetmap.fr/en/map/pymc_349107#16/-26.1575/-55.282222,-26.1575,-55.282222,"SI, Acepto",Radios Comunitarias
ZPD876,266,"RADIO COMUNITARIA ANTENA 1 FM - ZPD876 - 101,1MHz",PRO RADIO COMUNITARIA ANTENA 1 FM,"Departamento: Alto Parana<br>Localidad: Santa Fe del Paraná<br>Frecuencia: 101,1MHz<br>P.E.R.: 50W",Alto Parana,Santa Fe del Paraná,CONATEL,http://umap.openstreetmap.fr/en/map/pymc_349107#16/-25.225556/-54.7025,-25.225556,-54.7025,"SI, Acepto",Radios Comunitarias
ZPC349,272,"RADIO COMUNITARIA CATÓLICA LUZ FM - ZPC349 - 102,3MHz",RADIO COMUNITARIA CATÓLICA Y PARROQUIAL LUZ,"Departamento: Alto Parana<br>Localidad: Santa Rita<br>Frecuencia: 102,3MHz<br>P.E.R.: 50W",Alto Parana,Santa Rita,CONATEL,http://umap.openstreetmap.fr/en/map/pymc_349107#16/-25.795833/-55.097222,-25.795833,-55.097222,"SI, Acepto",Radios Comunitarias
ZPD894,214,"RADIO COMUNITARIA CIUDAD FM - ZPD894 - 90,7MHz",ASOCACIÓN RADIO COMUNITARIA CIUDAD FM,"Departamento: Alto Parana<br>Localidad: Naranjal<br>Frecuencia: 90,7MHz<br>P.E.R.: 50W",Alto Parana,Naranjal,CONATEL,http://umap.openstreetmap.fr/en/map/pymc_349107#16/-25.971944/-55.189722,-25.971944,-55.189722,"SI, Acepto",Radios Comunitarias
ZPC783,241,"RADIO COMUNITARIA JOVEN FM - ZPC783 - 96,1MHz",VICARIATO APOSTÓLICO DEL CHACO,"Departamento: Alto Paraguay<br>Localidad: Carmelo Peralta<br>Frecuencia: 96,1MHz<br>P.E.R.: 300W",Alto Paraguay,Carmelo Peralta,CONATEL,http://umap.openstreetmap.fr/en/map/pymc_349107#16/-21.6825/-57.906944,-21.6825,-57.906944,"SI, Acepto",Radios Comunitarias
ZPC819,228,"RADIO COMUNITARIA NATIVA FM - ZPC819 - 93,5MHz",ASOCIACIÓN NATIVA COMUNICACIÓN ALTERNATIVA,"Departamento: Central<br>Localidad: J. Augusto Saldivar<br>Frecuencia: 93,5MHz<br>P.E.R.: 50W",Central,J. Augusto Saldivar,CONATEL,http://umap.openstreetmap.fr/en/map/pymc_349107#16/-25.443056/-57.441667,-25.443056,-57.441667,"SI, Acepto",Radios Comunitarias
