id,channel,name,authorized,description,department,city,frequency,source,link,lat,lon,agreement
ZPD827,200,"RADIO UNEPA - ZPD827 - 87,9MHz",UNIÓN EVENGÉLICA DEL PARAGUAY,"Departamento: Caaguazú Localidad: Casilla Dos - Raul Arsenio Oviedo Frecuencia: 87,9MHz P.E.R.: 50W",Caaguazú,Casilla Dos - Raul Arsenio Oviedo,"87,9",CONATEL,http://umap.openstreetmap.fr/en/map/pymc_349107#16/-25.155278/-55.504444,-25.155278,-55.504444,"Sí, de acuerdo"
ZPC309,214,"RADIO UNIVERSAL FM - ZPC309 - 90,7MHz",RADIO EMISORA COMUNITARIA UNIVERSAL FM 92.5,"Departamento: Canindeyu Localidad: Colonia Jepopyhy Frecuencia: 90,7MHz P.E.R.: 50W",Canindeyu,Colonia Jepopyhy,"90,7",CONATEL,http://umap.openstreetmap.fr/en/map/pymc_349107#16/-24.480556/-55.627778,-24.480556,-55.627778,"Sí, de acuerdo"
ZPD868,300,"RADIO UNIVERSIDAD MARANDU FM - ZPD868 - 107,9MHz",UNIVERSIDAD NACIONAL DE VILLARRICA DEL ESPIRITU SANTO - UNIVES,"Departamento: Guairá Localidad: Villarrica Frecuencia: 107,9MHz P.E.R.: 50W",Guairá,Villarrica,"107,9",CONATEL,http://umap.openstreetmap.fr/en/map/pymc_349107#16/-25.768611/-56.451944,-25.768611,-56.451944,"Sí, de acuerdo"
ZPC332,228,"RADIO VIDA FM - ZPC332 - 93,5MHz",IGLESIA ASAMBLEA DE DIOS FUENTE DE VIDA,"Departamento: Central Localidad: San Lorenzo Frecuencia: 93,5MHz P.E.R.: 50W",Central,San Lorenzo,"93,5",CONATEL,http://umap.openstreetmap.fr/en/map/pymc_349107#16/-25.334444/-57.484167,-25.334444,-57.484167,"Sí, de acuerdo"
ZPC340,204,"RENACER FM - ZPC340 - 88,7MHz",ASOCIACIÓN DE MORADORES RENACER DE MINGA GUAZÚ,"Departamento: Alto Parana Localidad: Minga Guazú Frecuencia: 88,7MHz P.E.R.: 50W",Alto Parana,Minga Guazú,"88,7",CONATEL,http://umap.openstreetmap.fr/en/map/pymc_349107#16/-25.488056/-54.841389,-25.488056,-54.841389,"Sí, de acuerdo"
ZPD801,200,"REVELACIÓN FM - ZPD801 - 87,9MHz",ORGANIZACIÓN SAGRADO CORAZÓN DE JESÚS,"Departamento: Guairá Localidad: Mauricio J. Troche Frecuencia: 87,9MHz P.E.R.: 50W",Guairá,Mauricio J. Troche,"87,9",CONATEL,http://umap.openstreetmap.fr/en/map/pymc_349107#16/-25.617222/-56.278056,-25.617222,-56.278056,"Sí, de acuerdo"
ZPC498,200,"RINCÓN FM - ZPC498 - 87,9MHz",ASOCIACIÓN RINCÓN,"Departamento: Central Localidad: Ñemby Frecuencia: 87,9MHz P.E.R.: 25W",Central,Ñemby,"87,9",CONATEL,http://umap.openstreetmap.fr/en/map/pymc_349107#16/-25.386111/-57.529167,-25.386111,-57.529167,"Sí, de acuerdo"
ZPD840,234,"RIO APA FM - ZPD840 - 94,7MHz",RADIO COMUNITARIA RIO APA FM,"Departamento: Amambay Localidad: Bella Vista Norte Frecuencia: 94,7MHz P.E.R.: 50W",Amambay,Bella Vista Norte,"94,7",CONATEL,http://umap.openstreetmap.fr/en/map/pymc_349107#16/-22.122222/-56.520278,-22.122222,-56.520278,"Sí, de acuerdo"
ZPC462,200,"RIO VERDE FM - ZPC462 - 87,9MHz",ASOCIACIÓN CIVIL FAROL MISIONERA,"Departamento: San Pedro Localidad: Rio Verde Nueva Germania Frecuencia: 87,9MHz P.E.R.: 50W",San Pedro,Rio Verde Nueva Germania,"87,9",CONATEL,http://umap.openstreetmap.fr/en/map/pymc_349107#16/-23.65/-56.474167,-23.65,-56.474167,"Sí, de acuerdo"
ZPD867,269,"ROSA MISTICA FM - ZPD867 - 101,7MHz",ASOCIACIÓN ROSA MISTICA POTY COMUNICACIÓN ALTERNATIVA,"Departamento: Central Localidad: Capiata Frecuencia: 101,7MHz P.E.R.: 25W",Central,Capiata,"101,7",CONATEL,http://umap.openstreetmap.fr/en/map/pymc_349107#16/-25.401389/-57.465278,-25.401389,-57.465278,"Sí, de acuerdo"
