id,channel,name,authorized,description,department,city,source,link,lat,lon,agreement,category
ZPD884,200,"CAPARAZÓN FM - ZPD884 - 87,9MHz",FUNDACIÓN PRIMER PASO,"Departamento: Central<br>Localidad: Limpio<br>Frecuencia: 87,9MHz<br>P.E.R.: 50W",Central,Limpio,CONATEL,http://umap.openstreetmap.fr/en/map/pymc_349107#16/-25.165/-57.4675,-25.165,-57.4675,"SI, Acepto",Radios Comunitarias
ZPD826,269,"CAPIATA POTY FM - ZPD826 - 101,7MHz",GRUPO COMUNICACIONAL CAPIATA,"Departamento: Central<br>Localidad: Capiata<br>Frecuencia: 101,7MHz<br>P.E.R.: 25W",Central,Capiata,CONATEL,http://umap.openstreetmap.fr/en/map/pymc_349107#16/-25.375833/-57.401111,-25.375833,-57.401111,"SI, Acepto",Radios Comunitarias
ZPD746,200,"CAYIN O'CLIN - ZPD746 - 87,9MHz",COMUNIDAD INDIGENA CAYIN O'CLIN,"Departamento: Boquerón<br>Localidad: Neuland<br>Frecuencia: 87,9MHz<br>P.E.R.: 300W",Boquerón,Neuland,CONATEL,http://umap.openstreetmap.fr/en/map/pymc_349107#16/-22.633611/-60.133056,-22.633611,-60.133056,"SI, Acepto",Radios Comunitarias
ZPC825,284,"CENTRO COMUNITARIO CABAJÚ RETA - ZPC825 - 104,7MHz",CENTRO COMUNITARIO CABAJÚ RETA,"Departamento: Caazapa<br>Localidad: Caazapá<br>Frecuencia: 104,7MHz<br>P.E.R.: 50W",Caazapa,Caazapá,CONATEL,http://umap.openstreetmap.fr/en/map/pymc_349107#16/-26.141667/-56.391667,-26.141667,-56.391667,"SI, Acepto",Radios Comunitarias
ZPD864,200,"CENTRO EDUCATIVO ITÁ - ZPD864 - 87,9MHz",ASOCIACÓN COOPERACIÓN ESCOLAR DEL CENTRO EDUCATIVO ITÁ,"Departamento: Central<br>Localidad: Itá<br>Frecuencia: 87,9MHz<br>P.E.R.: 25W",Central,Itá,CONATEL,http://umap.openstreetmap.fr/en/map/pymc_349107#16/-25.505833/-57.371389,-25.505833,-57.371389,"SI, Acepto",Radios Comunitarias
ZPD647,200,"CENTRO FM - ZPD647 - 87,9MHz",ASOCIACIÓN RADIO CENTRO FM,"Departamento: San Pedro<br>Localidad: Unión<br>Frecuencia: 87,9MHz<br>P.E.R.: 50W",San Pedro,Unión,CONATEL,http://umap.openstreetmap.fr/en/map/pymc_349107#16/-24.808333/-56.521111,-24.808333,-56.521111,"SI, Acepto",Radios Comunitarias
ZPD732,210,"CERRO VERDE FM - ZPD732 - 89,9MHz",ASOCIACIÓN RADIO COMUNITARIA CERRO VERDE FM,"Departamento: Canindeyu<br>Localidad: Yvyrarovana<br>Frecuencia: 89,9MHz<br>P.E.R.: 50W",Canindeyu,Yvyrarovana,CONATEL,http://umap.openstreetmap.fr/en/map/pymc_349107#16/-24.316389/-55.046389,-24.316389,-55.046389,"SI, Acepto",Radios Comunitarias
ZPC341,213,"CETRO FM - ZPC341 - 90,5MHz",ASOCIACIÓN RADIO COMUNITARIA CETRO,"Departamento: Alto Parana<br>Localidad: Ciudad del Este<br>Frecuencia: 90,5MHz<br>P.E.R.: 25W",Alto Parana,Ciudad del Este,CONATEL,http://umap.openstreetmap.fr/en/map/pymc_349107#16/-25.501667/-54.629167,-25.501667,-54.629167,"SI, Acepto",Radios Comunitarias
ZPD836,200,"CHACO BOREAL POTY FM - ZPD836 - 87,9MHz",ASOCIACIÓN RADIO COMUNITARIA MAINUMBY,"Departamento: Boquerón<br>Localidad: Loma Plata<br>Frecuencia: 87,9MHz<br>P.E.R.: 100W",Boquerón,Loma Plata,CONATEL,http://umap.openstreetmap.fr/en/map/pymc_349107#16/-22.388333/-59.824167,-22.388333,-59.824167,"SI, Acepto",Radios Comunitarias
ZPD735,200,"CHE'IRO ARAPOTY - ZPD735 - 87,9MHz",COMUNIDAD INDIGENA CHEIRO ARA POTY - PARCIALIDAD MBYA-APYTERE,"Departamento: Caaguazú<br>Localidad: Juan Eulogio Estigarribia<br>Frecuencia: 87,9MHz<br>P.E.R.: 50W",Caaguazú,Juan Eulogio Estigarribia,CONATEL,http://umap.openstreetmap.fr/en/map/pymc_349107#16/-25.406667/-55.596389,-25.406667,-55.596389,"SI, Acepto",Radios Comunitarias
